slug,study_membership,score,n_measured,metric,codex_role,reporting_status,valid_codex_measurement,include_in_provisional_external_summary,paired_comparator_complete,paper_score,caveat
stark,main,73.97358086397715,2801,Hit@1,primary,updated_baseline,True,True,False,48.2,Seven recovered trials are merged by task ID with the original run: 2072/2801 = 73.97. The original timeout is counted as a scheduled-task failure. ARK 48.20 is the selected published reference; tool and backbone differences remain.
bright,main,61.09,423,nDCG@10 (macro over 4 domains),primary,baseline_snapshot,True,True,False,51.75,"Current executable comparator is RARG (51.75), replacing RARG+ (53.36); the RARG+ entry-point implementation was not released. Published sampling protocol is unstated."
scitab,main,72.88,1224,accuracy (3-class),primary,baseline_snapshot,True,True,False,70.6,Published result uses optimized prompts; no same-backbone completed comparator result in this score snapshot.
llm_srbench,main,89.92248062015504,129,"acc_0.1 (worst-point, pass@1)",primary,updated_baseline,True,True,False,87.6,"The scheduled 129-task denominator gives 116/129 = 89.92, including two unmeasured/failed tasks as zero credit. The earlier 91.34 is conditional on 127 measured tasks. Both denominators are disclosed; the paper reference 87.60 uses 129."
industryor,main,73.0,100,accuracy,primary,baseline_snapshot,True,True,True,68.0,73.0 is on the original paper answer key; revised-key score is 80.0 and must not be compared to the original 68.0 bar.
financemath,main,79.0,200,accuracy,primary,baseline_snapshot,True,True,True,76.0,Published-backbone comparison; a separate completed same-backbone reproduction is available.
multihiertt,main,71.26436781609196,1044,accuracy,primary,updated_baseline,True,True,False,71.17,"Registered denominator 1044, as explicitly selected in the September 17 owner decision:744/1044 = 71.26. The old 1042 denominator is retired. Answer accuracy is the comparison metric, not the separate F 1 column."
earthbench,main,59.11,247,end_to_end_final_answer_accuracy (denominator pinned at 247),primary,baseline_snapshot,True,True,False,65.99,162/247 reproduces 65.59 from released reference outputs; camera-ready 65.99 conflicts with those outputs. Gold-version and modality findings require separate analysis; historical verdict used a 3-SE threshold.
insightbench,main,53.68,91,"insight-level G-Eval (recall-only, judge-logprob weighted)",variant,scored_variant,True,False,False,61.9,Retained conditional 53.68 score on 91 graded questions of 100 under the older closed-web/old-judge setting. The new open-web 100-question job has grader failures; its zero summary is not promoted to a performance result. The pinned-judge rescore remains pending.
test_of_time,main,88.57,280,accuracy,primary,baseline_snapshot,True,True,False,93.1,"280 balanced instances of a 2800-instance population. Current paper bar is 93.1, not the unsupported 99.0 prose value. Format-instruction ablation 274/280 is an ablation; original 248/280 is not post-corrected."
elaipbench,main,37.468982630272954,403,accuracy,primary,updated_baseline,True,True,True,43.7,"Four previously failed launches were re-executed and graded (0/4), yielding 151/403 = 37.47. Both the published-score row and the updated paired comparator table now use all 403 instances. Published AgentSPEX used high effort; Codex and the shared-backbone medium comparator use medium."
biomni_eval1,main,59.75658914728682,433,macro accuracy,variant,scored_variant,True,False,False,76.07,"Completed September 11 433-task rerun on the historical 15-host tool surface. The ten-task macro is 59.76; the job micro 61.89 is not the Table 1 metric. This is a retained scored variant: the official E 1/data-lake arm remains pending. It is excluded only from the primary published-score tally, not removed from the score table."
matscibench,main,73.37,1025,accuracy_text_only,variant,scored_variant,True,False,False,82.9,Retained text-only 73.37 measurement over 1025 questions under the documented retired 15-host prompt and disabled built-in web search. This is a scored variant while the newly chosen open-web condition remains pending; it does not enter the primary published-score tally.
chembench,main,75.33333333333333,150,overall_score,primary,planned_subset,True,True,False,86.05,"Completed, planned 150-question open-web subset, 113/150 = 75.33, with no execution errors. This is a scoped pilot against the full-benchmark paper reference, not completion of the 2785-question open-web evaluation. The earlier closed-web 71.89 is preserved in the history. Gold-source trajectory-scan verification remains pending in this working draft."
crag,main,0.5692041522491349,578,truthfulness = accuracy - hallucination; all578 native grades,variant,scored_variant,True,False,False,0.711,"Retained pre-retrieved-KG variant: truthfulness 329/578 = 0.5692 (435 correct, 106 hallucinations, 37 missing). The old 577 denominator wrongly excluded a valid empty-answer zero. The benchmark mock-API arm and aligned-judge comparison remain pending; paper 0.711 is not the local regrade 0.3893."
medagentsbench,main,50.507447881928414,862,macro accuracy,primary,no_comparable_reference,True,False,False,,"All 862 native grades contribute to the nine-subset macro 50.51. The old 860-row selection dropped two valid failures. This is a retained standalone Codex result; GSEM has no published nine-subset aggregate, so no aggregate reference is invented."
frontierscience_research,main,50.85,59,rubric >= 7/10,variant,scored_variant,True,False,False,63.3,"Retained closed-book, older-judge variant 30/59 = 50.85; the planned-set denominator 60 would give 50.00. The current target is open-book with the pinned GPT-5 judge, so it remains outside the primary published-score tally. FrontierAgent 63.3 is the external reference."
oolong,main,73.44131670007862,192,labels-off score,primary,scoring_mismatch,True,False,False,71.84,"Completed 192-question labels-off, in-prompt test-split rerun at context length 262144 (first 192 in dataset order), score 73.44. This replaces the incompatible labels-on staged-file 99.00. EnSI-RAG 71.84 uses an LLM soft judge for nonnumeric answers, while this Codex run uses the official exact/substring scorer. The Codex result is retained; the aggregate paper comparison remains pending aligned regrading or a numeric-only join. Fractional credit makes a binomial interval inappropriate."
rarebench,main,,370,"Recall@1 under the comparator's own top-five judge, 370 graded of 370 emitted",pending,invalid_measurement,False,False,False,55.95,No new repaired-network result was found in the current HF branches. The old 161/370 = 43.51 run had no successful retrieval and is retained only as diagnostic history. The primary score remains pending rather than being carried forward as a valid result.
sstqa,main,77.22513089005236,764,accuracy (ST-Raptor prompt; gpt-5.6-luna judge),variant,scored_variant,True,False,False,81.9,"English 764-question result, 590/764 = 77.23, using the ST-Raptor benchmark T/F prompt with a gpt-5.6-luna judge. The September 17 owner decision selects the Chinese split as the primary condition to align with ASTRA. This English result remains a declared language/judge variant; the Chinese primary run and aligned grading are pending. SSTQA replaces LongBench-v 2 in the 20-benchmark main suite."
longbench_v2,supplementary,61.54,125,"macro accuracy over 5 Multi-Doc QA sub-domains, 125-row comparator slice",primary,baseline_snapshot,True,False,False,60.1,"Five-domain macro on 125 Multi-Doc QA rows; paper bar is a mean over three runs, with no released benchmark driver."
